product_name,Product_unique_ID,product_Affiliate_site,product_Affiliate_url,product_major_category,product_minor_category,Product_Buy_box_price,Product_lowest_price,Product_current_price,Product_image_path,Publish,Publish_time,updated_date
"iQOO Neo 10R 5G (Raging Blue, 8GB RAM, 256GB Storage)",B0DW48MM7C,https://www.amazon.in/,https://amzn.to/3EpTmQZ,Electronics ,Mobiles,28990,28998,28998,,,,2025-04-26 16:57:27
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",B09794YHBS,https://www.amazon.in/,https://amzn.to/44lt25d,Electronics,Accessories,1590,1399,1599,,,,2025-04-26 16:57:27
Portronics Bridge Y USB 3.0 to Type C OTG Adaptor | 10Gbps High Speed Data Transfer,B0DH3J6LB9,https://www.amazon.in/,https://amzn.to/4cZSWxH,Electronics,Accessories,106,93,109,,,,2025-04-26 16:57:27
TEKCOOL 4000mAh Double Ended Spray Fan | Cold Air Fan,B0DY51RDJT,https://www.amazon.in/,https://amzn.to/3GgJTvI,Electronics,Computer-Accessories,1430,1432,1432,,,,2025-04-26 16:57:27
STRIFF Adjustable Laptop Tabletop Stand Patented Riser Ventilated Portable Foldable Compatible ,B07XCM6T4N,https://www.amazon.in/,https://amzn.to/43XsTEL,Electronics,Computer-Accessories,248,236,249,,,,2025-04-26 16:57:27
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking",B01HJI0FS2,https://www.amazon.in/,https://amzn.to/3EjN2KS,Electronics,Computer-Accessories,298,230,299,,,,2025-04-26 16:57:27
"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices",B098NS6PVG,https://www.amazon.in/,https://amzn.to/44ltmRt,Electronics,Computer-Accessories,168,129,169,,,,2025-04-26 16:57:27
Oneplus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic,B09TVVGXWS,https://www.amazon.in/,https://amzn.to/3EvXnn2,Electronics,Headphones,1598,1299,1599,,,,2025-04-26 16:57:27
boAt Bassheads 100 in Ear Wired Earphones with Mic,B071Z8M4KX,https://www.amazon.in/,https://amzn.to/4jGR6DQ,Electronics,Headphones,378,297,379,,,,2025-04-26 16:57:27
OnePlus Nord Buds 2r True Wireless in Ear Earbuds with Mic,B0C8JB3G5W,https://www.amazon.in/,https://amzn.to/42DKf7n,Electronics,Headphones,1798,1599,1799,,,,2025-04-26 16:57:27
